name,vendor,mgmt_ip,location_name,zone_name
ULA-SANTA _M-001,Unknown,45.176.204.17,Default,Default
ULA-SANTA _M-002,Unknown,45.176.204.17,Default,Default
ULA-SANTA _M-003,Unknown,45.176.204.17,Default,Default
ULA-J-ANDRAUS-ZTE-01,Unknown,45.176.204.17,Default,Default
ULA-J-ANDRAUS-ZTE-02,Unknown,45.176.204.17,Default,Default
ULA-J-ANDRAUS-ZTE-03,Unknown,45.176.204.17,Default,Default
ULA-J-ANDRAUS-ZTE-04,Unknown,45.176.204.17,Default,Default
HUAWEI-01-JP,Unknown,45.176.204.5,Default,Default
ULA-HEBRON-01,Unknown,45.176.204.17,Default,Default
OLT-HU-Shopping-Park,Unknown,45.176.204.17,Default,Default 